character,position,baxter,emc
匙,常開三支平,dzye,dʑie
匚,幫三C陽平,pjang,pɨ̯ɑŋ
匜,以開三支上,yeX,jieʔ
匜,以開三支平,ye,jie
匠,從開三陽去,dzjangH,dzjɑŋh
匡,溪合三C陽平,khjwang,kʰwɨ̯ɑŋ
匣,匣開二銜入,haep,ʁaˤp
匤,溪三C鍾入,khjowk,kʰɨ̯ok
匥,並三B仙去,bjenH,bɨ̯enh
匧,溪開四添入,khep,qʰep
匨,精開一唐平,tsang,t̙s̙ɑŋ
匪,幫三C微上,pj+jX,pwɨjʔ
匫,曉合一魂入,xwot,χwət
匭,見合三B脂上,kwijX,kwɨ̯iʔ
匯,匣合一灰上,hwojX,ʁwəjʔ
匯,溪合二皆平,khweaj,qʰweˤj
匰,端開一寒平,tan,t̙ɑn
匱,羣合三B脂去,gwijH,ɡwɨ̯ih
匳,來開三鹽平,ljem,ljem
匴,心合一寒上,swanX,s̙wɑnʔ
匵,定一東入,duwk,d̙uk
匶,羣三C尤去,gjuwH,ɡɨ̯uh
匸,匣開四齊上,hejX,ʁejʔ
匹,滂三A真入,phjit,pʰjit
医,影開四齊去,'ejH,ʔ̙ejh
匽,影開三C元上,'jonX,ʔɨ̯ənʔ
匾,幫四先上,penX,p̙enʔ
匿,孃開三蒸入,nrik,ɳjɨk
區,溪合三C虞平,khju,kʰɨ̯o
區,影一侯平,'uw,ʔ̙u
十,常開三侵入,dzyip,dʑip
卂,心開三真去,sinH,sinh
卂,知合三祭去,trjwejH,ʈjwejh
千,清開四先平,tshen,t̙s̙ʰen
卅,心開一覃入,sop,s̙əp
卅,心開一談入,sap,s̙ɑp
升,書開三蒸平,sying,ɕɨŋ
午,疑一模上,nguX,ɴoʔ
卉,曉合三C微上,xjw+jX,xwɨjʔ
卉,曉合三C微去,xjw+jH,xwɨjh
半,幫一寒去,panH,p̙ɑnh
卌,心開三侵入,sip,sip
卑,幫三A支平,pjie,pjie
卒,清合一魂入,tshwot,t̙s̙ʰwət
卒,精合一魂入,tswot,t̙s̙wət
卒,精合三真入,tswit,tsjwit
卓,知二江入,traewk,ʈoˤk
協,匣開四添入,hep,ʁep
南,泥開一覃平,nom,n̙əm
卙,昌開三侵入,tsyhip,tɕʰip
博,幫一唐入,pak,p̙ɑk
卛,見合三C元去,kjwonH,kwɨ̯ənh
卜,幫一東入,puwk,p̙uk
卝,匣合二庚上,hwaengX,ʁwaˤŋʔ
卞,並三B仙去,bjenH,bɨ̯enh
卟,見開四齊平,kej,qej
卟,溪開四齊上,khejX,qʰejʔ
占,章開三鹽去,tsyemH,tɕemh
占,章開三鹽平,tsyem,tɕem
卣,以三尤上,yuwX,juʔ
卣,以三尤平,yuw,ju
卤,心開四齊平,sej,s̙ej
卦,見合二佳去,kweaH,qweˤh
卬,疑開一唐平,ngang,ɴɑŋ
卬,疑開三C陽上,ngjangX,ŋɨ̯ɑŋʔ
卯,明二肴上,maewX,m̙aˤwʔ
印,影開三A真去,'jinH,ʔjinh
危,疑合三B支平,ngjwe,ŋwɨ̯ie
卲,常開三宵去,dzyewH,dʑewh
即,精開三蒸入,tsik,tsjɨk
却,溪開三C陽入,khjak,kʰɨ̯ɑk
卵,來合一寒上,lwanX,l̙wɑnʔ
卵,來合一歌上,lwaX,l̙wɑʔ
卶,昌開三支去,tsyheH,tɕʰieh
卶,書開三支去,syeH,ɕieh
卷,見合三B仙上,kjwenX,kwɨ̯enʔ
卷,見合三B仙去,kjwenH,kwɨ̯enh
卷,羣合三B仙平,gjwen,ɡwɨ̯en
卷,羣合三C元上,gjwonX,ɡwɨ̯ənʔ
卸,心開三麻去,sjaeH,sjah
卹,心合三真入,swit,sjwit
卻,見開三C陽入,kjak,kɨ̯ɑk
卻,溪開三C陽入,khjak,kʰɨ̯ɑk
卽,精開三蒸入,tsik,tsjɨk
卿,溪開三B庚平,khjaeng,kʰɨ̯aŋ
厀,心開三真入,sit,sit
厂,曉開一寒上,xanX,χɑnʔ
厂,曉開一寒去,xanH,χɑnh
厃,章開三鹽平,tsyem,tɕem
厄,影開二耕入,'eak,ʔ̙eˤk
厇,知開二耕入,treak,ʈeˤk
厊,疑開二麻上,ngaeX,ɴaˤʔ
厎,章開三之上,tsyiX,tɕɨʔ
厎,章開三脂上,tsyijX,tɕiʔ
厏,崇開二麻上,dzraeX,dʐaˤʔ
厏,莊開二麻上,tsraeX,tʂaˤʔ
厒,溪開一覃入,khop,qʰəp
厓,疑開二佳平,ngea,ɴeˤ
厖,明二江平,maewng,m̙oˤŋ
厗,定開四齊平,dej,d̙ej
厙,書開三麻去,syaeH,ɕah
厚,匣一侯上,huwX,ʁuʔ
厚,匣一侯去,huwH,ʁuh
厜,精合三支平,tsjwe,tsjwie
厝,清一模去,tshuH,t̙s̙ʰoh
厝,清開一唐入,tshak,t̙s̙ʰɑk
原,疑合三C元平,ngjwon,ŋwɨ̯ən
厤,來開四青入,lek,l̙ek
厥,見合三C元入,kjwot,kwɨ̯ət
厥,見合三C文入,kjut,kɨ̯ut
厧,端開四先平,ten,t̙en
厬,見合三B脂上,kwijX,kwɨ̯iʔ
厭,影開三A鹽入,'jiep,ʔjep
厭,影開三A鹽上,'jiemX,ʔjemʔ
厭,影開三A鹽去,'jiemH,ʔjemh
厱,溪開二咸平,kheam,qʰeˤm
厱,溪開三C嚴平,khjaem,kʰɨ̯əm
厲,來開三祭去,ljejH,ljejh
厴,影開三A鹽上,'jiemX,ʔjemʔ
厵,疑合三C元平,ngjwon,ŋwɨ̯ən
厶,心開三脂平,sij,si
厸,明四添上,memX,m̙emʔ
厹,羣三C尤平,gjuw,ɡɨ̯u
去,溪開三C魚上,khjoX,kʰɨ̯əʔ
去,溪開三C魚去,khjoH,kʰɨ̯əh
厽,來合三支上,ljweX,ljwieʔ
叀,常合三仙去,dzywenH,dʑwenh
參,心開一談平,sam,s̙ɑm
參,生開三侵平,srim,ʂɨ̯im
參,初開三侵平,tsrhim,tʂʰɨ̯im
參,清開一覃去,tshomH,t̙s̙ʰəmh
參,清開一覃平,tshom,t̙s̙ʰəm
又,云三C尤去,hjuwH,wɨ̯uh
叉,初開二佳平,tsrhea,tʂʰeˤ
叉,初開二麻平,tsrhae,tʂʰaˤ
及,羣開三B侵入,gip,ɡɨ̯ip
友,云三C尤上,hjuwX,wɨ̯uʔ
反,滂三C元平,phjon,pʰɨ̯ən
反,幫三C元上,pjonX,pɨ̯ənʔ
叒,日開三陽入,nyak,ɲɑk
叔,書三東入,syuwk,ɕuk
叕,知合三仙入,trjwet,ʈjwet
取,清一侯上,tshuwX,t̙s̙ʰuʔ
取,清合三虞上,tshjuX,tsʰjoʔ
受,常三尤上,dzyuwX,dʑuʔ
叚,見開二麻上,kaeX,qaˤʔ
叛,並一寒去,banH,b̙ɑnh
叜,心一侯上,suwX,s̙uʔ
叟,心一侯上,suwX,s̙uʔ
叡,以合三祭去,ywejH,jwejh
叢,從一東平,dzuwng,d̙z̙uŋ
口,溪一侯上,khuwX,qʰuʔ
古,見一模上,kuX,qoʔ
句,見一侯去,kuwH,quh
句,見一侯平,kuw,qu
句,見合三C虞去,kjuH,kɨ̯oh
句,羣合三C虞平,gju,ɡɨ̯o
叨,透開一豪平,thaw,t̙ʰəw
叩,溪一侯上,khuwX,qʰuʔ
只,章開三支上,tsyeX,tɕieʔ
只,章開三支平,tsye,tɕie
叫,見開四蕭去,kewH,qewh
召,常開三宵去,dzyewH,dʑewh
召,澄開三宵去,drjewH,ɖjewh
叮,端開四青平,teng,t̙eŋ
可,溪開一歌上,khaX,qʰɑʔ
台,以開三之平,yi,jɨ
台,透開一咍平,thoj,t̙ʰəj
叱,昌開三真入,tsyhit,tɕʰit
史,生開三之上,sriX,ʂɨʔ
右,云三C尤上,hjuwX,wɨ̯uʔ
右,云三C尤去,hjuwH,wɨ̯uh
叴,羣三C尤平,gjuw,ɡɨ̯u
叵,滂一歌上,phaX,p̙ʰɑʔ
叶,匣開四添入,hep,ʁep
号,匣開一豪去,hawH,ʁəwh
司,心開三之平,si,sjɨ
叿,曉一東平,xuwng,χuŋ
吁,云合三C虞去,hjuH,wɨ̯oh
吁,曉合三C虞平,xju,xɨ̯o
吂,明一唐去,mangH,m̙ɑŋh
吂,明一唐平,mang,m̙ɑŋ
吃,見開三C殷入,kj+t,kɨt
各,見開一唐入,kak,qɑk
吅,邪三鍾去,zjowngH,zjoŋh
吅,曉合三C元平,xjwon,xwɨ̯ən
合,匣開一覃入,hop,ʁəp
合,見開一覃入,kop,qəp
吉,見開三A真入,kjit,kjit
同,定一東平,duwng,d̙uŋ
名,明三A清平,mjieng,mjaŋ
后,匣一侯上,huwX,ʁuʔ
后,匣一侯去,huwH,ʁuh
吏,來開三之去,liH,ljɨh
吐,透一模上,thuX,t̙ʰoʔ
吐,透一模去,thuH,t̙ʰoh
向,書開三陽去,syangH,ɕɑŋh
向,曉開三C陽去,xjangH,xɨ̯ɑŋh
吒,知開二麻去,traeH,ʈaˤh
君,見合三C文平,kjun,kɨ̯un
吝,來開三真去,linH,linh
吞,透開一痕平,thon,t̙ʰən
吞,透開四先平,then,t̙ʰen
吟,疑開三B侵去,ngimH,ŋɨ̯imh
吟,疑開三B侵平,ngim,ŋɨ̯im
吠,並三C廢去,bjojH,bɨ̯əjh
吡,並三A真入,bjit,bjit
吡,滂三A支上,phjieX,pʰjieʔ
吣,清開三侵去,tshimH,tsʰimh
否,並三B脂上,bijX,bɨ̯iʔ
否,幫三C尤上,pjuwX,pɨ̯uʔ
吧,滂二麻平,phae,p̙ʰaˤ
吧,幫二麻平,pae,p̙aˤ
吨,透合一魂上,thwonX,t̙ʰwənʔ
吪,疑合一歌平,ngwa,ɴwɑ
含,匣開一覃平,hom,ʁəm
听,疑開三B真上,nginX,ŋɨ̯inʔ
听,疑開三C殷上,ngj+nX,ŋɨnʔ
吭,匣開一唐上,hangX,ʁɑŋʔ
吭,匣開一唐去,hangH,ʁɑŋh
吭,匣開一唐平,hang,ʁɑŋ
吮,從合三仙上,dzjwenX,dzjwenʔ
吮,船合三真上,zywinX,ʑwinʔ
启,溪開四齊上,khejX,qʰejʔ
吰,匣合二耕平,hweang,ʁweˤŋ
吱,溪開三A支去,khjieH,kʰjieh
吳,疑一模平,ngu,ɴo
吵,初開二肴上,tsrhaewX,tʂʰaˤwʔ
吵,明三A宵上,mjiewX,mjewʔ
吶,孃合三仙入,nrjwet,ɳjwet
吷,曉合三A仙入,xjwiet,xjwet
吸,曉開三B侵入,xip,xɨ̯ip
吹,昌合三支去,tsyhweH,tɕʰwieh
吹,昌合三支平,tsyhwe,tɕʰwie
吺,端一侯平,tuw,t̙u
吻,明三C文上,mjunX,mɨ̯unʔ
吼,曉一侯上,xuwX,χuʔ
吼,曉一侯去,xuwH,χuh
吽,曉一侯上,xuwX,χuʔ
吾,疑一模平,ngu,ɴo
吾,疑開二麻平,ngae,ɴaˤ
呀,疑開二麻平,ngae,ɴaˤ
呀,曉開二麻平,xae,χaˤ
呁,見合三A真去,kjwinH,kjwinh
呂,來開三魚上,ljoX,ljəʔ
呈,澄開三清去,drjengH,ɖjaŋh
呈,澄開三清平,drjeng,ɖjaŋ
告,見一冬入,kowk,qok
告,見開一豪去,kawH,qəwh
呝,影開二皆去,'eajH,ʔ̙eˤjh
呝,影開二耕入,'eak,ʔ̙eˤk
呞,書開三之平,syi,ɕɨ
呢,孃開三脂平,nrij,ɳi
呣,明一侯平,muw,m̙u
呤,來開四青平,leng,l̙eŋ
呥,日開三鹽平,nyem,ɲem
呦,影開三A幽平,'jiw,ʔjiw
周,章三尤平,tsyuw,tɕu
呪,章三尤去,tsyuwH,tɕuh
呫,透開四添入,thep,t̙ʰep
呬,曉開三B脂去,xijH,xɨ̯ih
呭,以開三祭去,yejH,jejh
呰,精開三支上,tsjeX,tsieʔ
呱,見一模平,ku,qo
味,明三C微去,mj+jH,mwɨjh
呴,曉一侯上,xuwX,χuʔ
呴,曉合三C虞去,xjuH,xɨ̯oh
呵,曉開一歌去,xaH,χɑh
呵,曉開一歌平,xa,χɑ
呶,孃開二肴平,nraew,ɳaˤw
呷,曉開二銜入,xaep,χaˤp
呺,曉開三B宵平,xjew,xɨ̯ew
呻,書開三真平,syin,ɕin
呼,曉一模平,xu,χo
命,明三B庚去,mjaengH,mɨ̯aŋh
呾,端開一寒入,tat,t̙ɑt
呾,影開二刪入,'aet,ʔ̙aˤt
呿,溪開三C魚去,khjoH,kʰɨ̯əh
呿,溪開三C歌平,khja,kʰɨ̯ɑ
呿,溪開三C嚴入,khjaep,kʰɨ̯əp
咀,從開三魚上,dzjoX,dzjəʔ
咀,精開三魚上,tsjoX,tsjəʔ
咄,端合一寒入,twat,t̙wɑt
咄,端合一魂入,twot,t̙wət
咅,透一侯去,thuwH,t̙ʰuh
咆,並二肴平,baew,b̙aˤw
咇,並三A真入,bjit,bjit
咇,並四先入,bet,b̙et
咇,幫三B真入,pit,pɨ̯it
咈,並三C文入,bjut,bɨ̯ut
咉,影開一唐上,'angX,ʔ̙ɑŋʔ
咉,影開一唐平,'ang,ʔ̙ɑŋ
咊,匣合一歌平,hwa,ʁwɑ
咋,崇開二庚入,dzraek,dʐaˤk
咋,莊開二耕入,tsreak,tʂeˤk
咋,莊開二麻去,tsraeH,tʂaˤh
和,匣合一歌去,hwaH,ʁwɑh
和,匣合一歌平,hwa,ʁwɑ
咍,曉開一咍平,xoj,χəj
咎,見開一豪平,kaw,qəw
咎,羣三C尤上,gjuwX,ɡɨ̯uʔ
咏,云合三B庚去,hjwaengH,wɨ̯aŋh
咟,匣合二耕入,hweak,ʁweˤk
咠,清開三侵入,tship,tsʰip
咠,精開三侵入,tsip,tsip
咡,日開三之去,nyiH,ɲɨh
咡,日開三之平,nyi,ɲɨ
咢,疑開一唐入,ngak,ɴɑk
咤,知開二麻去,traeH,ʈaˤh
咤,知開二麻平,trae,ʈaˤ
咥,定開四先入,det,d̙et
咥,端開四先入,tet,t̙et
咥,徹開三真入,trhit,ʈʰit
咦,曉開三A脂平,xjij,xji
咨,精開三脂平,tsij,tsi
咫,章開三支上,tsyeX,tɕieʔ
咬,見開二肴平,kaew,qaˤw
咬,影開二肴平,'aew,ʔ̙aˤw
咭,溪開二山入,kheat,qʰeˤt
咭,曉開三A真入,xjit,xjit
咮,知三尤去,trjuwH,ʈjuh
咮,知三尤平,trjuw,ʈju
咮,知合三虞去,trjuH,ʈjoh
咮,章合三虞平,tsyu,tɕo
咰,生合三真入,srwit,ʂwɨ̯it
咳,匣開一咍平,hoj,ʁəj
咶,匣合二刪入,hwaet,ʁwaˤt
咶,曉合二夬去,xwaejH,χwaˤjh
咶,曉合二皆去,xweajH,χweˤjh
咷,定開一豪平,daw,d̙əw
咷,透開四蕭去,thewH,t̙ʰewh
咸,匣開二咸平,heam,ʁeˤm
咹,影開一寒入,'at,ʔ̙ɑt
咺,曉合三C元上,xjwonX,xwɨ̯ənʔ
咻,曉三C尤平,xjuw,xɨ̯u
咻,曉合三C虞上,xjuX,xɨ̯oʔ
咼,溪合二佳平,khwea,qʰweˤ
咽,影開四先入,'et,ʔ̙et
咽,影開四先去,'enH,ʔ̙enh
咽,影開四先平,'en,ʔ̙en
咿,影開三A脂平,'jij,ʔji
哀,影開一咍平,'oj,ʔ̙əj
品,滂三B侵上,phimX,pʰɨ̯imʔ
哂,書開三真上,syinX,ɕinʔ
哃,定一東平,duwng,d̙uŋ
哄,匣一東去,huwngH,ʁuŋh
哆,昌開三之去,tsyhiH,tɕʰɨh
哆,昌開三支上,tsyheX,tɕʰieʔ
哆,昌開三麻上,tsyhaeX,tɕʰaʔ
哆,知開二麻去,traeH,ʈaˤh
哆,端開一歌上,taX,t̙ɑʔ
哆,端開一歌去,taH,t̙ɑh
哆,徹開二麻平,trhae,ʈʰaˤ
哇,影合二麻平,'wae,ʔ̙waˤ
哇,影開二佳平,'ea,ʔ̙eˤ
哈,疑開一覃入,ngop,ɴəp
哉,精開一咍平,tsoj,t̙s̙əj
哊,云三C東入,hjuwk,wɨ̯uk
員,云合三B仙平,hjwen,wɨ̯en
員,云合三C文去,hjunH,wɨ̯unh
員,云合三C文平,hjun,wɨ̯un
哢,來一東去,luwngH,l̙uŋh
哤,明二江平,maewng,m̙oˤŋ
哥,見開一歌平,ka,qɑ
哦,疑開一歌平,nga,ɴɑ
哨,心開三宵平,sjew,sjew
哨,清開三宵去,tshjewH,tsʰjewh
哫,精三鍾入,tsjowk,tsjok
哭,溪一東入,khuwk,qʰuk
哮,曉開二肴去,xaewH,χaˤwh
哮,曉開二肴平,xaew,χaˤw
哯,匣開四先上,henX,ʁenʔ
哰,來開一豪平,law,l̙əw
哱,滂一魂入,phwot,p̙ʰwət
哲,知開三仙入,trjet,ʈjet
哳,知開二刪入,traet,ʈaˤt
哴,來開一唐平,lang,l̙ɑŋ
哴,來開三陽去,ljangH,ljɑŋh
哵,幫二山入,peat,p̙eˤt
哷,來合三仙入,ljwet,ljwet
哹,並三C尤平,bjuw,bɨ̯u
哹,幫三C尤平,pjuw,pɨ̯u
哺,並一模去,buH,b̙oh
哽,見開二庚上,kaengX,qaˤŋʔ
哿,見開一歌上,kaX,qɑʔ
唁,疑開三B仙去,ngjenH,ŋɨ̯enh
唂,見一東入,kuwk,quk
唄,並二夬去,baejH,b̙aˤjh
唅,匣開一覃去,homH,ʁəmh
唅,曉開一覃平,xom,χəm
唆,心合一歌平,swa,s̙wɑ
唇,章開三真平,tsyin,tɕin
唈,影開一覃入,'op,ʔ̙əp
唈,影開三B侵入,'ip,ʔɨ̯ip
唉,影開一咍平,'oj,ʔ̙əj
唉,影開二皆上,'eajX,ʔ̙eˤjʔ
唊,見開四添入,kep,qep
唌,定開一寒平,dan,d̙ɑn
唏,曉開三C微上,xj+jX,xɨjʔ
唏,曉開三C微去,xj+jH,xɨjh
唐,定開一唐平,dang,d̙ɑŋ
唧,精開三真入,tsit,tsit
唧,精開三蒸入,tsik,tsjɨk
唪,並一東上,buwngX,b̙uŋʔ
唪,並三C鍾上,bjowngX,bɨ̯oŋʔ
唫,羣開三B侵上,gimX,ɡɨ̯imʔ
唫,疑開三B侵平,ngim,ŋɨ̯im
唬,見合二庚入,kwaek,qwaˤk
唬,曉開二麻去,xaeH,χaˤh
唭,溪開三C之去,khiH,kʰɨh
售,常三尤去,dzyuwH,dʑuh
唯,以合三脂上,ywijX,jwiʔ
唯,以合三脂平,ywij,jwi
唱,昌開三陽去,tsyhangH,tɕʰɑŋh
唲,日開三支平,nye,ɲie
唲,影開二佳平,'ea,ʔ̙eˤ
唳,來開四先入,let,l̙et
唳,來開四齊去,lejH,l̙ejh
唴,溪開三C陽去,khjangH,kʰɨ̯ɑŋh
唵,影開一覃上,'omX,ʔ̙əmʔ
唶,精開三麻去,tsjaeH,tsjah
唸,端開四先去,tenH,t̙enh
唸,端開四添去,temH,t̙emh
唹,影開三C魚平,'jo,ʔɨ̯ə
唻,來開一咍上,lojX,l̙əjʔ
唻,來開一咍平,loj,l̙əj
唾,透合一歌去,thwaH,t̙ʰwɑh
啀,疑開二佳平,ngea,ɴeˤ
啁,知三尤平,trjuw,ʈju
啁,知開二肴平,traew,ʈaˤw
啂,泥一侯上,nuwX,n̙uʔ
啄,知二江入,traewk,ʈoˤk
啄,端一東入,tuwk,t̙uk
啅,知二江入,traewk,ʈoˤk
商,書開三陽平,syang,ɕɑŋ
啇,端開四青入,tek,t̙ek
啉,來開一覃平,lom,l̙əm
啌,曉二江平,xaewng,χoˤŋ
啍,定合一魂平,dwon,d̙wən
啎,疑一模去,nguH,ɴoh
問,明三C文去,mjunH,mɨ̯unh
啐,心合一灰去,swojH,s̙wəjh
啐,初合二夬去,tsrhwaejH,tʂʰwaˤjh
啐,清合一灰去,tshwojH,t̙s̙ʰwəjh
啐,精合三真入,tswit,tsjwit
啑,生開二銜入,sraep,ʂaˤp
啑,端開四齊去,tejH,t̙ejh
啒,見合一魂入,kwot,qwət
啒,曉合一魂入,xwot,χwət
啓,溪開四齊上,khejX,qʰejʔ
啕,定開一豪平,daw,d̙əw
啖,定開一談上,damX,d̙ɑmʔ
啖,定開一談去,damH,d̙ɑmh
啗,定開一談上,damX,d̙ɑmʔ
啗,定開一談去,damH,d̙ɑmh
啙,從開四齊上,dzejX,d̙z̙ejʔ
啙,精開三支上,tsjeX,tsieʔ
啙,精開四齊平,tsej,t̙s̙ej
啚,定一模平,du,d̙o
啚,幫三B脂上,pijX,pɨ̯iʔ
啜,昌合三仙入,tsyhwet,tɕʰwet
啜,知合三仙入,trjwet,ʈjwet
啜,知合三祭去,trjwejH,ʈjwejh
啜,常合三仙入,dzywet,dʑwet
啜,常合三祭去,dzywejH,dʑwejh
啞,影開二庚入,'aek,ʔ̙aˤk
啞,影開二耕入,'eak,ʔ̙eˤk
啞,影開二麻上,'aeX,ʔ̙aˤʔ
啞,影開二麻去,'aeH,ʔ̙aˤh
啡,滂一灰上,phwojX,p̙ʰwəjʔ
啺,定開一唐平,dang,d̙ɑŋ
啻,書開三支去,syeH,ɕieh
啼,定開四齊平,dej,d̙ej
啾,精三尤平,tsjuw,tsju
喀,溪開二庚入,khaek,qʰaˤk
喁,疑三C鍾平,ngjowng,ŋɨ̯oŋ
喃,孃開二咸平,nream,ɳeˤm
善,常開三仙上,dzyenX,dʑenʔ
喅,以三東入,yuwk,juk
喆,知開三仙入,trjet,ʈjet
喈,見開二皆平,keaj,qeˤj
喉,匣一侯平,huw,ʁu
喊,匣開二咸上,heamX,ʁeˤmʔ
喊,曉開一談上,xamX,χɑmʔ
喊,曉開二咸上,xeamX,χeˤmʔ
喋,定開四添入,dep,d̙ep
喋,端開四添入,tep,t̙ep
喋,澄開二銜入,draep,ɖaˤp
喌,章三尤平,tsyuw,tɕu
喌,章三東入,tsyuwk,tɕuk
喎,溪合二佳平,khwea,qʰweˤ
喑,影開一覃平,'om,ʔ̙əm
喑,影開三B侵去,'imH,ʔɨ̯imh
喑,影開三B侵平,'im,ʔɨ̯im
喓,影開三A宵平,'jiew,ʔjew
喔,影二江入,'aewk,ʔ̙oˤk
喗,疑合三C文上,ngjunX,ŋɨ̯unʔ
喘,昌合三仙上,tsyhwenX,tɕʰwenʔ
喙,曉合三C廢去,xjwojH,xwɨ̯əjh
喚,曉合一寒去,xwanH,χwɑnh
喛,曉合一寒去,xwanH,χwɑnh
喛,曉合三C元平,xjwon,xwɨ̯ən
喜,曉開三C之上,xiX,xɨʔ
喝,影開二夬去,'aejH,ʔ̙aˤjh
喝,曉開一寒入,xat,χɑt
喟,溪合二皆去,khweajH,qʰweˤjh
喟,溪合三B脂去,khwijH,kʰwɨ̯ih
喠,昌三鍾上,tsyhowngX,tɕʰoŋʔ
喠,章三鍾上,tsyowngX,tɕoŋʔ
喢,生開二咸入,sreap,ʂeˤp
喢,生開三鹽入,srjep,ʂɨ̯ep
喢,初開二咸入,tsrheap,tʂʰeˤp
喢,昌開三鹽入,tsyhep,tɕʰep
喣,曉合三C虞上,xjuX,xɨ̯oʔ
喤,匣合二庚平,hwaeng,ʁwaˤŋ
喤,曉合二庚平,xwaeng,χwaˤŋ
喥,定開一唐入,dak,d̙ɑk
喦,日開三鹽入,nyep,ɲep
喧,曉合三C元平,xjwon,xwɨ̯ən
喪,心開一唐去,sangH,s̙ɑŋh
喪,心開一唐平,sang,s̙ɑŋ
喫,溪開四青入,khek,qʰek
喬,見開三B宵平,kjew,kɨ̯ew
喬,羣開三B宵平,gjew,ɡɨ̯ew
喭,疑開一寒去,nganH,ɴɑnh
喭,疑開三B仙去,ngjenH,ŋɨ̯enh
單,常開三仙上,dzyenX,dʑenʔ
單,常開三仙去,dzyenH,dʑenh
單,常開三仙平,dzyen,dʑen
單,端開一寒平,tan,t̙ɑn
喻,以合三虞去,yuH,joh
喿,心開一豪去,sawH,s̙əwh
嗀,曉一東入,xuwk,χuk
嗀,曉二江入,xaewk,χoˤk
嗁,定開四齊平,dej,d̙ej
嗂,以開三宵平,yew,jew
嗃,曉開一唐入,xak,χɑk
嗃,曉開二肴去,xaewH,χaˤwh
嗃,曉開二肴平,xaew,χaˤw
嗄,生開二麻去,sraeH,ʂaˤh
嗄,影開二夬去,'aejH,ʔ̙aˤjh
嗇,生開三蒸入,srik,ʂɨk
嗈,影三C鍾平,'jowng,ʔɨ̯oŋ
嗉,心一模去,suH,s̙oh
嗊,曉一東上,xuwngX,χuŋʔ
嗋,曉開三C嚴入,xjaep,xɨ̯əp
嗌,影開三A清入,'jiek,ʔjak
嗑,匣開一談入,hap,ʁɑp
嗑,見開一談入,kap,qɑp
嗒,透開一談入,thap,t̙ʰɑp
嗒,端開一覃入,top,t̙əp
嗔,定開四先平,den,d̙en
嗔,昌開三真平,tsyhin,tɕʰin
嗕,日三鍾入,nyowk,ɲok
嗗,影合二山入,'weat,ʔ̙weˤt
嗙,幫二庚平,paeng,p̙aˤŋ
嗚,影一模平,'u,ʔ̙o
嗛,溪開四添上,khemX,qʰemʔ
嗜,常開三脂去,dzyijH,dʑih
嗝,見開二耕入,keak,qeˤk
嗞,精開三之平,tsi,tsjɨ
嗟,精開三麻平,tsjae,tsja
嗢,影合一魂入,'wot,ʔ̙wət
嗢,影合二山入,'weat,ʔ̙weˤt
嗣,邪開三之去,ziH,zjɨh
嗤,昌開三之平,tsyhi,tɕʰɨ
嗥,匣開一豪平,haw,ʁəw
嗷,疑開一豪平,ngaw,ɴəw
嗸,疑開一豪平,ngaw,ɴəw
嗹,來開四先平,len,l̙en
嗺,心合一灰平,swoj,s̙wəj
嗺,精合一灰平,tswoj,t̙s̙wəj
嗻,章開三麻去,tsyaeH,tɕah
嗼,明一唐入,mak,m̙ɑk
嗼,明二庚入,maek,m̙aˤk
嗽,心一東入,suwk,s̙uk
嗽,心一侯去,suwH,s̙uh
嗽,生二江入,sraewk,ʂoˤk
嗾,心一侯上,suwX,s̙uʔ
嗾,心一侯去,suwH,s̙uh
嗾,清一侯去,tshuwH,t̙s̙ʰuh
嗿,透開一覃上,thomX,t̙ʰəmʔ
嘁,精開一覃入,tsop,t̙s̙əp
嘂,見開四蕭去,kewH,qewh
嘄,疑開四蕭去,ngewH,ɴewh
嘅,溪開一咍去,khojH,qʰəjh
嘆,透開一寒去,thanH,t̙ʰɑnh
嘆,透開一寒平,than,t̙ʰɑn
嘈,從開一豪平,dzaw,d̙z̙əw
嘉,見開二麻平,kae,qaˤ
嘌,滂三A宵平,phjiew,pʰjew
嘍,來一侯上,luwX,l̙uʔ
嘍,來一侯平,luw,l̙u
嘎,見開二山入,keat,qeˤt
嘏,見開二麻上,kaeX,qaˤʔ
嘐,見開二肴平,kaew,qaˤw
嘐,曉開二肴平,xaew,χaˤw
嘑,曉一模平,xu,χo
嘒,曉合四齊去,xwejH,χwejh
嘓,見合二耕入,kweak,qweˤk
嘔,影一侯上,'uwX,ʔ̙uʔ
嘔,影一侯平,'uw,ʔ̙u
嘕,曉開三B仙平,xjen,xɨ̯en
嘖,崇開二耕入,dzreak,dʐeˤk
嘖,莊開二庚入,tsraek,tʂaˤk
嘖,莊開二耕入,tsreak,tʂeˤk
嘗,常開三陽平,dzyang,dʑɑŋ
嘪,明二佳上,meaX,m̙eˤʔ
嘫,孃開二山平,nrean,ɳeˤn
嘬,初合二夬去,tsrhwaejH,tʂʰwaˤjh
嘮,徹開二肴平,trhaew,ʈʰaˤw
嘯,心開四蕭去,sewH,s̙ewh
嘰,見開三C微平,kj+j,kɨj
嘲,知開二肴平,traew,ʈaˤw
嘳,溪合二皆去,khweajH,qʰweˤjh
嘳,溪合三B脂去,khwijH,kʰwɨ̯ih
嘵,曉開四蕭平,xew,χew
嘶,心開四齊平,sej,s̙ej
嘹,來開四蕭去,lewH,l̙ewh
嘹,來開四蕭平,lew,l̙ew
