character,position,baxter,emc,lmc,nw,nw_late
哤,明二江平,maewng,m̙oˤŋ,mʕawŋ,mbʕɔũ,mbʕɔũ
哥,見開一歌平,ka,qɑ,qɑ,qɑ,qɔ
哦,疑開一歌平,nga,ɴɑ,ɴɑ,ɴɢɑ,ɴɢɔ
哨,心開三宵平,sjew,sjew,sjɛw,sjɛw,sjɛw
哨,清開三宵去,tshjewH,tsʰjewh,tsʰjɛwH,tsʰjɛwH,tsʰjɛwH
哫,精三鍾入,tsjowk,tsjok,tsjuk,tsjuɣ,tsjuɣ
哭,溪一東入,khuwk,qʰuk,qʰuk,qʰuɣ,qʰuɣ
哮,曉開二肴去,xaewH,χaˤwh,χʕawH,χʕawH,χʕawH
哮,曉開二肴平,xaew,χaˤw,χʕaw,χʕaw,χʕaw
哯,匣開四先上,henX,ʁenʔ,ɣjɛnH,ɣ̊ɦjɛnH,xjɛnH
哰,來開一豪平,law,l̙əw,lɑw,lɑw,lɑw
哱,滂一魂入,phwot,p̙ʰwət,pʰət,pʰər,pʰər
哲,知開三仙入,trjet,ʈjet,ʈɨɛt,ʈɨɛr,ʈɨɛr
哳,知開二刪入,traet,ʈaˤt,ʈʕat,ʈʕar,ʈʕar
哴,來開一唐平,lang,l̙ɑŋ,lɑŋ,lɔũ,lɔũ
哴,來開三陽去,ljangH,ljɑŋh,lɨɑŋH,lɨɔũH,lɨɔũH
哵,幫二山入,peat,p̙eˤt,pʕat,pʕar,pʕar
哷,來合三仙入,ljwet,ljwet,lwɨɛt,lwɨɛr,lwɨɛr
哹,並三C尤平,bjuw,bɨ̯u,bvəw,v̥ɦəw,fəw
哹,幫三C尤平,pjuw,pɨ̯u,pfəw,fəw,fəw
哺,並一模去,buH,b̙oh,buH,b̥ɦuH,pʰuH
哽,見開二庚上,kaengX,qaˤŋʔ,qʕɛŋX,qʕɛĩX,qʕɛĩX
哿,見開一歌上,kaX,qɑʔ,qɑX,qɑX,qɔX
唁,疑開三B仙去,ngjenH,ŋɨ̯enh,ŋɨɛnH,ŋɡɨɛnH,ŋɡɨɛnH
唂,見一東入,kuwk,quk,quk,quɣ,quɣ
唄,並二夬去,baejH,b̙aˤjh,bʕajH,b̥ɦʕajH,pʰʕajH
唅,匣開一覃去,homH,ʁəmh,ʁɑmH,ʁ̥ɦɑmH,χɑmH
唅,曉開一覃平,xom,χəm,χɑm,χɑm,χɑm
唆,心合一歌平,swa,s̙wɑ,swɑ,swɑ,swɔ
唇,章開三真平,tsyin,tɕin,tɕɨn,tɕɨn,tɕɨn
唈,影開一覃入,'op,ʔ̙əp,ʔɑp,ʔɑβ,ʔɑβ
唈,影開三B侵入,'ip,ʔɨ̯ip,ʔɨip,ʔɨiβ,ʔɨiβ
唉,影開一咍平,'oj,ʔ̙əj,ʔɑj,ʔɑj,ʔɑj
唉,影開二皆上,'eajX,ʔ̙eˤjʔ,ʔˤajX,ʔˤajX,ʔˤajX
唊,見開四添入,kep,qep,kjɛp,kjɛβ,kjɛβ
唌,定開一寒平,dan,d̙ɑn,dɑn,d̥ɦɑn,tʰɑn
唏,曉開三C微上,xj+jX,xɨjʔ,xɨiX,xɨiX,xɨiX
唏,曉開三C微去,xj+jH,xɨjh,xɨiH,xɨiH,xɨiH
唐,定開一唐平,dang,d̙ɑŋ,dɑŋ,d̥ɦɔũ,tʰɔũ
唧,精開三真入,tsit,tsit,tsjit,tsjir,tsjir
唧,精開三蒸入,tsik,tsjɨk,tsjɨk,tsjɨɣ,tsjɨɣ
唪,並一東上,buwngX,b̙uŋʔ,buŋH,b̥ɦuŋH,pʰuŋH
唪,並三C鍾上,bjowngX,bɨ̯oŋʔ,bvuŋH,v̥ɦuŋH,fuŋH
唫,羣開三B侵上,gimX,ɡɨ̯imʔ,ɡɨimH,ɡ̊ɦɨimH,kʰɨimH
唫,疑開三B侵平,ngim,ŋɨ̯im,ŋɨim,ŋɡɨim,ŋɡɨim
唬,見合二庚入,kwaek,qwaˤk,qwʕɛk,qwʕɛɣ,qwʕɛɣ
唬,曉開二麻去,xaeH,χaˤh,χʕaH,χʕaH,χʕaH
唭,溪開三C之去,khiH,kʰɨh,kʰɨiH,kʰɨiH,kʰɨiH
售,常三尤去,dzyuwH,dʑuh,ʑɨwH,ʑ̊ɦɨwH,ɕɨwH
唯,以合三脂上,ywijX,jwiʔ,jwiX,jwiX,jwiX
唯,以合三脂平,ywij,jwi,jwi,jwi,jwi
唱,昌開三陽去,tsyhangH,tɕʰɑŋh,tɕʰɑŋH,tɕʰɔũH,tɕʰɔũH
唲,日開三支平,nye,ɲie,ɲi,ʑi,ʑi
唲,影開二佳平,'ea,ʔ̙eˤ,ʔˤaj,ʔˤaj,ʔˤaj
唳,來開四先入,let,l̙et,ljɛt,ljɛr,ljɛr
唳,來開四齊去,lejH,l̙ejh,ljɛjH,ljɛjH,ljiH
唴,溪開三C陽去,khjangH,kʰɨ̯ɑŋh,kʰɨɑŋH,kʰɨɔũH,kʰɨɔũH
唵,影開一覃上,'omX,ʔ̙əmʔ,ʔɑmX,ʔɑmX,ʔɑmX
唶,精開三麻去,tsjaeH,tsjah,tsjaH,tsjaH,tsjaH
唸,端開四先去,tenH,t̙enh,tjɛnH,tjɛnH,tjɛnH
唸,端開四添去,temH,t̙emh,tjɛmH,tjɛmH,tjɛmH
唹,影開三C魚平,'jo,ʔɨ̯ə,ʔɨ,ʔɨu,ʔɨu
唻,來開一咍上,lojX,l̙əjʔ,lɑjX,lɑjX,lɑjX
唻,來開一咍平,loj,l̙əj,lɑj,lɑj,lɑj
唾,透合一歌去,thwaH,t̙ʰwɑh,tʰwɑH,tʰwɑH,tʰwɔH
啀,疑開二佳平,ngea,ɴeˤ,ɴʕaj,ɴɢʕaj,ɴɢʕaj
啁,知三尤平,trjuw,ʈju,ʈɨw,ʈɨw,ʈɨw
啁,知開二肴平,traew,ʈaˤw,ʈʕaw,ʈʕaw,ʈʕaw
啂,泥一侯上,nuwX,n̙uʔ,nəwX,ndəwX,ndəwX
啄,知二江入,traewk,ʈoˤk,ʈʕawk,ʈʕawɣ,ʈʕɔɣ
啄,端一東入,tuwk,t̙uk,tuk,tuɣ,tuɣ
啅,知二江入,traewk,ʈoˤk,ʈʕawk,ʈʕawɣ,ʈʕɔɣ
商,書開三陽平,syang,ɕɑŋ,ɕɑŋ,ɕɔũ,ɕɔũ
啇,端開四青入,tek,t̙ek,tjɛk,tjɛɣ,tjɨɣ
啉,來開一覃平,lom,l̙əm,lɑm,lɑm,lɑm
啌,曉二江平,xaewng,χoˤŋ,χʕawŋ,χʕɔũ,χʕɔũ
啍,定合一魂平,dwon,d̙wən,dwən,d̥ɦwən,tʰwən
啎,疑一模去,nguH,ɴoh,ɴuH,ɴɢuH,ɴɢuH
問,明三C文去,mjunH,mɨ̯unh,ɱunH,ʋunH,ʋunH
啐,心合一灰去,swojH,s̙wəjh,swɑjH,swɑjH,swɑjH
啐,初合二夬去,tsrhwaejH,tʂʰwaˤjh,tʂʰwʕajH,tʂʰwʕajH,tʂʰwʕajH
啐,清合一灰去,tshwojH,t̙s̙ʰwəjh,tsʰwɑjH,tsʰwɑjH,tsʰwɑjH
啐,精合三真入,tswit,tsjwit,tsjwit,tsjwir,tsjwir
啑,生開二銜入,sraep,ʂaˤp,ʂʕap,ʂʕaβ,ʂʕaβ
啑,端開四齊去,tejH,t̙ejh,tjɛjH,tjɛjH,tjiH
啒,見合一魂入,kwot,qwət,qwət,qwər,qwər
啒,曉合一魂入,xwot,χwət,χwət,χwər,χwər
啓,溪開四齊上,khejX,qʰejʔ,kʰjɛjX,kʰjɛjX,kʰjiX
啕,定開一豪平,daw,d̙əw,dɑw,d̥ɦɑw,tʰɑw
啖,定開一談上,damX,d̙ɑmʔ,dɑmH,d̥ɦɑmH,tʰɑmH
啖,定開一談去,damH,d̙ɑmh,dɑmH,d̥ɦɑmH,tʰɑmH
啗,定開一談上,damX,d̙ɑmʔ,dɑmH,d̥ɦɑmH,tʰɑmH
啗,定開一談去,damH,d̙ɑmh,dɑmH,d̥ɦɑmH,tʰɑmH
啙,從開四齊上,dzejX,d̙z̙ejʔ,dzjɛjH,d̥z̥ɦjɛjH,tsʰjiH
啙,精開三支上,tsjeX,tsieʔ,tsjiX,tsəX,tsəX
啙,精開四齊平,tsej,t̙s̙ej,tsjɛj,tsjɛj,tsji
啚,定一模平,du,d̙o,du,d̥ɦu,tʰu
啚,幫三B脂上,pijX,pɨ̯iʔ,pɨiX,pɨiX,pɨiX
啜,昌合三仙入,tsyhwet,tɕʰwet,tɕʰwɛt,tɕʰwɛr,tɕʰwɛr
啜,知合三仙入,trjwet,ʈjwet,ʈwɨɛt,ʈwɨɛr,ʈwɨɛr
啜,知合三祭去,trjwejH,ʈjwejh,ʈwɨɛjH,ʈwɨɛjH,ʈwɨiH
啜,常合三仙入,dzywet,dʑwet,ʑwɛt,ʑ̊ɦwɛr,ɕwɛr
啜,常合三祭去,dzywejH,dʑwejh,ʑwɛjH,ʑ̊ɦwɛjH,ɕwiH
啞,影開二庚入,'aek,ʔ̙aˤk,ʔˤɛk,ʔˤɛɣ,ʔˤɛɣ
啞,影開二耕入,'eak,ʔ̙eˤk,ʔˤɛk,ʔˤɛɣ,ʔˤɛɣ
啞,影開二麻上,'aeX,ʔ̙aˤʔ,ʔˤaX,ʔˤaX,ʔˤaX
啞,影開二麻去,'aeH,ʔ̙aˤh,ʔˤaH,ʔˤaH,ʔˤaH
啡,滂一灰上,phwojX,p̙ʰwəjʔ,pʰɑjX,pʰɑjX,pʰɑjX
啺,定開一唐平,dang,d̙ɑŋ,dɑŋ,d̥ɦɔũ,tʰɔũ
啻,書開三支去,syeH,ɕieh,ɕiH,ɕiH,ɕiH
啼,定開四齊平,dej,d̙ej,djɛj,d̥ɦjɛj,tʰji
啾,精三尤平,tsjuw,tsju,tsjɨw,tsjɨw,tsjɨw
喀,溪開二庚入,khaek,qʰaˤk,qʰʕɛk,qʰʕɛɣ,qʰʕɛɣ
喁,疑三C鍾平,ngjowng,ŋɨ̯oŋ,ŋɨuŋ,ŋɡɨuŋ,ŋɡɨuŋ
喃,孃開二咸平,nream,ɳeˤm,ɳʕam,nɻʕam,nɻʕam
善,常開三仙上,dzyenX,dʑenʔ,ʑɛnH,ʑ̊ɦɛnH,ɕɛnH
喅,以三東入,yuwk,juk,juk,juɣ,juɣ
喆,知開三仙入,trjet,ʈjet,ʈɨɛt,ʈɨɛr,ʈɨɛr
喈,見開二皆平,keaj,qeˤj,qʕaj,qʕaj,qʕaj
喉,匣一侯平,huw,ʁu,ʁəw,ʁ̥ɦəw,χəw
喊,匣開二咸上,heamX,ʁeˤmʔ,ʁʕamH,ʁ̥ɦʕamH,χʕamH
喊,曉開一談上,xamX,χɑmʔ,χɑmX,χɑmX,χɑmX
喊,曉開二咸上,xeamX,χeˤmʔ,χʕamX,χʕamX,χʕamX
喋,定開四添入,dep,d̙ep,djɛp,d̥ɦjɛβ,tʰjɛβ
喋,端開四添入,tep,t̙ep,tjɛp,tjɛβ,tjɛβ
喋,澄開二銜入,draep,ɖaˤp,ɖʕap,ɖ̥ɦʕaβ,ʈʰʕaβ
喌,章三尤平,tsyuw,tɕu,tɕɨw,tɕɨw,tɕɨw
喌,章三東入,tsyuwk,tɕuk,tɕuk,tɕuɣ,tɕuɣ
喎,溪合二佳平,khwea,qʰweˤ,qʰwʕaj,qʰwʕaj,qʰwʕaj
喑,影開一覃平,'om,ʔ̙əm,ʔɑm,ʔɑm,ʔɑm
喑,影開三B侵去,'imH,ʔɨ̯imh,ʔɨimH,ʔɨimH,ʔɨimH
喑,影開三B侵平,'im,ʔɨ̯im,ʔɨim,ʔɨim,ʔɨim
喓,影開三A宵平,'jiew,ʔjew,ʔjɛw,ʔjɛw,ʔjɛw
喔,影二江入,'aewk,ʔ̙oˤk,ʔˤawk,ʔˤawɣ,ʔˤɔɣ
喗,疑合三C文上,ngjunX,ŋɨ̯unʔ,ŋɨunX,ŋɡɨunX,ŋɡɨunX
喘,昌合三仙上,tsyhwenX,tɕʰwenʔ,tɕʰwɛnX,tɕʰwɛnX,tɕʰwɛnX
喙,曉合三C廢去,xjwojH,xwɨ̯əjh,xwɨɛjH,xwɨɛjH,xwɨiH
喚,曉合一寒去,xwanH,χwɑnh,χwɑnH,χwɑnH,χwɑnH
喛,曉合一寒去,xwanH,χwɑnh,χwɑnH,χwɑnH,χwɑnH
喛,曉合三C元平,xjwon,xwɨ̯ən,xwɨɛn,xwɨɛn,xwɨɛn
喜,曉開三C之上,xiX,xɨʔ,xɨiX,xɨiX,xɨiX
喝,影開二夬去,'aejH,ʔ̙aˤjh,ʔˤajH,ʔˤajH,ʔˤajH
喝,曉開一寒入,xat,χɑt,χɑt,χɑr,χɑr
喟,溪合二皆去,khweajH,qʰweˤjh,qʰwʕajH,qʰwʕajH,qʰwʕajH
喟,溪合三B脂去,khwijH,kʰwɨ̯ih,kʰwɨiH,kʰwɨiH,kʰwɨiH
喠,昌三鍾上,tsyhowngX,tɕʰoŋʔ,tɕʰuŋX,tɕʰuŋX,tɕʰuŋX
喠,章三鍾上,tsyowngX,tɕoŋʔ,tɕuŋX,tɕuŋX,tɕuŋX
喢,生開二咸入,sreap,ʂeˤp,ʂʕap,ʂʕaβ,ʂʕaβ
喢,生開三鹽入,srjep,ʂɨ̯ep,ʂʕap,ʂʕaβ,ʂʕaβ
喢,初開二咸入,tsrheap,tʂʰeˤp,tʂʰʕap,tʂʰʕaβ,tʂʰʕaβ
喢,昌開三鹽入,tsyhep,tɕʰep,tɕʰɛp,tɕʰɛβ,tɕʰɛβ
喣,曉合三C虞上,xjuX,xɨ̯oʔ,xɨuX,xɨuX,xɨuX
喤,匣合二庚平,hwaeng,ʁwaˤŋ,ʁwʕɛŋ,ʁ̥ɦwʕɛĩ,χwʕɛĩ
喤,曉合二庚平,xwaeng,χwaˤŋ,χwʕɛŋ,χwʕɛĩ,χwʕɛĩ
喥,定開一唐入,dak,d̙ɑk,dɑk,d̥ɦɑɣ,tʰɔɣ
喦,日開三鹽入,nyep,ɲep,ɲɛp,ʑɛβ,ʑɛβ
喧,曉合三C元平,xjwon,xwɨ̯ən,xwɨɛn,xwɨɛn,xwɨɛn
喪,心開一唐去,sangH,s̙ɑŋh,sɑŋH,sɔũH,sɔũH
喪,心開一唐平,sang,s̙ɑŋ,sɑŋ,sɔũ,sɔũ
喫,溪開四青入,khek,qʰek,kʰjɛk,kʰjɛɣ,kʰjɨɣ
喬,見開三B宵平,kjew,kɨ̯ew,kɨɛw,kɨɛw,kɨɛw
喬,羣開三B宵平,gjew,ɡɨ̯ew,ɡɨɛw,ɡ̊ɦɨɛw,kʰɨɛw
喭,疑開一寒去,nganH,ɴɑnh,ɴɑnH,ɴɢɑnH,ɴɢɑnH
喭,疑開三B仙去,ngjenH,ŋɨ̯enh,ŋɨɛnH,ŋɡɨɛnH,ŋɡɨɛnH
單,常開三仙上,dzyenX,dʑenʔ,ʑɛnH,ʑ̊ɦɛnH,ɕɛnH
單,常開三仙去,dzyenH,dʑenh,ʑɛnH,ʑ̊ɦɛnH,ɕɛnH
單,常開三仙平,dzyen,dʑen,ʑɛn,ʑ̊ɦɛn,ɕɛn
單,端開一寒平,tan,t̙ɑn,tɑn,tɑn,tɑn
喻,以合三虞去,yuH,joh,juH,juH,juH
喿,心開一豪去,sawH,s̙əwh,sɑwH,sɑwH,sɑwH
嗀,曉一東入,xuwk,χuk,χuk,χuɣ,χuɣ
嗀,曉二江入,xaewk,χoˤk,χʕawk,χʕawɣ,χʕɔɣ
嗁,定開四齊平,dej,d̙ej,djɛj,d̥ɦjɛj,tʰji
嗂,以開三宵平,yew,jew,jɛw,jɛw,jɛw
嗃,曉開一唐入,xak,χɑk,χɑk,χɑɣ,χɔɣ
嗃,曉開二肴去,xaewH,χaˤwh,χʕawH,χʕawH,χʕawH
嗃,曉開二肴平,xaew,χaˤw,χʕaw,χʕaw,χʕaw
嗄,生開二麻去,sraeH,ʂaˤh,ʂʕaH,ʂʕaH,ʂʕaH
嗄,影開二夬去,'aejH,ʔ̙aˤjh,ʔˤajH,ʔˤajH,ʔˤajH
嗇,生開三蒸入,srik,ʂɨk,ʂʕək,ʂʕəɣ,ʂʕəɣ
嗈,影三C鍾平,'jowng,ʔɨ̯oŋ,ʔɨuŋ,ʔɨuŋ,ʔɨuŋ
嗉,心一模去,suH,s̙oh,suH,suH,suH
嗊,曉一東上,xuwngX,χuŋʔ,χuŋX,χuŋX,χuŋX
嗋,曉開三C嚴入,xjaep,xɨ̯əp,xɨɛp,xɨɛβ,xɨɛβ
嗌,影開三A清入,'jiek,ʔjak,ʔjɛk,ʔjɛɣ,ʔjɨɣ
嗑,匣開一談入,hap,ʁɑp,ʁɑp,ʁ̥ɦɑβ,χɑβ
嗑,見開一談入,kap,qɑp,qɑp,qɑβ,qɑβ
嗒,透開一談入,thap,t̙ʰɑp,tʰɑp,tʰɑβ,tʰɑβ
嗒,端開一覃入,top,t̙əp,tɑp,tɑβ,tɑβ
嗔,定開四先平,den,d̙en,djɛn,d̥ɦjɛn,tʰjɛn
嗔,昌開三真平,tsyhin,tɕʰin,tɕʰɨn,tɕʰɨn,tɕʰɨn
嗕,日三鍾入,nyowk,ɲok,ɲuk,ʑuɣ,ʑuɣ
嗗,影合二山入,'weat,ʔ̙weˤt,ʔˤwat,ʔˤwar,ʔˤwar
嗙,幫二庚平,paeng,p̙aˤŋ,pʕɛŋ,pʕɛĩ,pʕɛĩ
嗚,影一模平,'u,ʔ̙o,ʔu,ʔu,ʔu
嗛,溪開四添上,khemX,qʰemʔ,kʰjɛmX,kʰjɛmX,kʰjɛmX
嗜,常開三脂去,dzyijH,dʑih,ʑiH,ʑ̊ɦiH,ɕiH
嗝,見開二耕入,keak,qeˤk,qʕɛk,qʕɛɣ,qʕɛɣ
嗞,精開三之平,tsi,tsjɨ,tsji,tsə,tsə
嗟,精開三麻平,tsjae,tsja,tsja,tsja,tsja
嗢,影合一魂入,'wot,ʔ̙wət,ʔwət,ʔwər,ʔwər
嗢,影合二山入,'weat,ʔ̙weˤt,ʔˤwat,ʔˤwar,ʔˤwar
嗣,邪開三之去,ziH,zjɨh,zjiH,z̥ɦəH,səH
嗤,昌開三之平,tsyhi,tɕʰɨ,tɕʰi,tɕʰi,tɕʰi
嗥,匣開一豪平,haw,ʁəw,ʁɑw,ʁ̥ɦɑw,χɑw
嗷,疑開一豪平,ngaw,ɴəw,ɴɑw,ɴɢɑw,ɴɢɑw
嗸,疑開一豪平,ngaw,ɴəw,ɴɑw,ɴɢɑw,ɴɢɑw
嗹,來開四先平,len,l̙en,ljɛn,ljɛn,ljɛn
嗺,心合一灰平,swoj,s̙wəj,swɑj,swɑj,swɑj
嗺,精合一灰平,tswoj,t̙s̙wəj,tswɑj,tswɑj,tswɑj
嗻,章開三麻去,tsyaeH,tɕah,tɕaH,tɕaH,tɕaH
嗼,明一唐入,mak,m̙ɑk,mɑk,mbɑɣ,mbɔɣ
嗼,明二庚入,maek,m̙aˤk,mʕɛk,mbʕɛɣ,mbʕɛɣ
嗽,心一東入,suwk,s̙uk,suk,suɣ,suɣ
嗽,心一侯去,suwH,s̙uh,səwH,səwH,səwH
嗽,生二江入,sraewk,ʂoˤk,ʂʕawk,ʂʕawɣ,ʂʕɔɣ
嗾,心一侯上,suwX,s̙uʔ,səwX,səwX,səwX
嗾,心一侯去,suwH,s̙uh,səwH,səwH,səwH
嗾,清一侯去,tshuwH,t̙s̙ʰuh,tsʰəwH,tsʰəwH,tsʰəwH
嗿,透開一覃上,thomX,t̙ʰəmʔ,tʰɑmX,tʰɑmX,tʰɑmX
嘁,精開一覃入,tsop,t̙s̙əp,tsɑp,tsɑβ,tsɑβ
嘂,見開四蕭去,kewH,qewh,kjɛwH,kjɛwH,kjɛwH
嘄,疑開四蕭去,ngewH,ɴewh,ŋjɛwH,ŋɡjɛwH,ŋɡjɛwH
嘅,溪開一咍去,khojH,qʰəjh,qʰɑjH,qʰɑjH,qʰɑjH
嘆,透開一寒去,thanH,t̙ʰɑnh,tʰɑnH,tʰɑnH,tʰɑnH
嘆,透開一寒平,than,t̙ʰɑn,tʰɑn,tʰɑn,tʰɑn
嘈,從開一豪平,dzaw,d̙z̙əw,dzɑw,d̥z̥ɦɑw,tsʰɑw
嘉,見開二麻平,kae,qaˤ,qʕa,qʕa,qʕa
嘌,滂三A宵平,phjiew,pʰjew,pʰjɛw,pʰjɛw,pʰjɛw
嘍,來一侯上,luwX,l̙uʔ,ləwX,ləwX,ləwX
嘍,來一侯平,luw,l̙u,ləw,ləw,ləw
嘎,見開二山入,keat,qeˤt,qʕat,qʕar,qʕar
嘏,見開二麻上,kaeX,qaˤʔ,qʕaX,qʕaX,qʕaX
嘐,見開二肴平,kaew,qaˤw,qʕaw,qʕaw,qʕaw
嘐,曉開二肴平,xaew,χaˤw,χʕaw,χʕaw,χʕaw
嘑,曉一模平,xu,χo,χu,χu,χu
嘒,曉合四齊去,xwejH,χwejh,xjwɛjH,xjwɛjH,xjwiH
嘓,見合二耕入,kweak,qweˤk,qwʕɛk,qwʕɛɣ,qwʕɛɣ
嘔,影一侯上,'uwX,ʔ̙uʔ,ʔəwX,ʔəwX,ʔəwX
嘔,影一侯平,'uw,ʔ̙u,ʔəw,ʔəw,ʔəw
嘕,曉開三B仙平,xjen,xɨ̯en,xɨɛn,xɨɛn,xɨɛn
嘖,崇開二耕入,dzreak,dʐeˤk,ʐʕɛk,ʐ̥ɦʕɛɣ,ʂʕɛɣ
嘖,莊開二庚入,tsraek,tʂaˤk,tʂʕɛk,tʂʕɛɣ,tʂʕɛɣ
嘖,莊開二耕入,tsreak,tʂeˤk,tʂʕɛk,tʂʕɛɣ,tʂʕɛɣ
嘗,常開三陽平,dzyang,dʑɑŋ,ʑɑŋ,ʑ̊ɦɔũ,ɕɔũ
嘪,明二佳上,meaX,m̙eˤʔ,mʕajX,mbʕajX,mbʕajX
嘫,孃開二山平,nrean,ɳeˤn,ɳʕan,nɻʕan,nɻʕan
嘬,初合二夬去,tsrhwaejH,tʂʰwaˤjh,tʂʰwʕajH,tʂʰwʕajH,tʂʰwʕajH
嘮,徹開二肴平,trhaew,ʈʰaˤw,ʈʰʕaw,ʈʰʕaw,ʈʰʕaw
嘯,心開四蕭去,sewH,s̙ewh,sjɛwH,sjɛwH,sjɛwH
嘰,見開三C微平,kj+j,kɨj,kɨi,kɨi,kɨi
嘲,知開二肴平,traew,ʈaˤw,ʈʕaw,ʈʕaw,ʈʕaw
嘳,溪合二皆去,khweajH,qʰweˤjh,qʰwʕajH,qʰwʕajH,qʰwʕajH
嘳,溪合三B脂去,khwijH,kʰwɨ̯ih,kʰwɨiH,kʰwɨiH,kʰwɨiH
嘵,曉開四蕭平,xew,χew,xjɛw,xjɛw,xjɛw
嘶,心開四齊平,sej,s̙ej,sjɛj,sjɛj,sji
嘹,來開四蕭去,lewH,l̙ewh,ljɛwH,ljɛwH,ljɛwH
嘹,來開四蕭平,lew,l̙ew,ljɛw,ljɛw,ljɛw
嘺,羣開三A宵平,gjiew,ɡjew,ɡjɛw,ɡ̊ɦjɛw,kʰjɛw
嘻,曉開三C之平,xi,xɨ,xɨi,xɨi,xɨi
嘼,曉三C尤去,xjuwH,xɨ̯uh,xɨwH,xɨwH,xɨwH
嘽,昌開三仙上,tsyhenX,tɕʰenʔ,tɕʰɛnX,tɕʰɛnX,tɕʰɛnX
嘽,透開一寒平,than,t̙ʰɑn,tʰɑn,tʰɑn,tʰɑn
嘾,定開一覃上,domX,d̙əmʔ,dɑmH,d̥ɦɑmH,tʰɑmH
噁,影一模去,'uH,ʔ̙oh,ʔuH,ʔuH,ʔuH
噂,精合一魂上,tswonX,t̙s̙wənʔ,tswənX,tswənX,tswənX
噅,曉合三B支平,xjwe,xwɨ̯ie,xwɨi,xwɨi,xwɨi
噆,清開一覃上,tshomX,t̙s̙ʰəmʔ,tsʰɑmX,tsʰɑmX,tsʰɑmX
噆,精開一覃入,tsop,t̙s̙əp,tsɑp,tsɑβ,tsɑβ
噇,澄二江平,draewng,ɖoˤŋ,ɖʕawŋ,ɖ̥ɦʕɔũ,ʈʰʕɔũ
噈,精三東入,tsjuwk,tsjuk,tsjuk,tsjuɣ,tsjuɣ
噉,定開一談上,damX,d̙ɑmʔ,dɑmH,d̥ɦɑmH,tʰɑmH
噊,以合三真入,ywit,jwit,jwit,jwir,jwir
噊,船合三真入,zywit,ʑwit,ʑwɨt,ʑ̊ɦwɨr,ɕwɨr
噋,透合一魂平,thwon,t̙ʰwən,tʰwən,tʰwən,tʰwən
噋,溪合一唐入,khwak,qʰwɑk,qʰwɑk,qʰwɑɣ,qʰwɔɣ
噌,初開二耕平,tsrheang,tʂʰeˤŋ,tʂʰʕɛŋ,tʂʰʕɛĩ,tʂʰʕɛĩ
噍,從開三宵去,dzjewH,dzjewh,dzjɛwH,d̥z̥ɦjɛwH,tsʰjɛwH
噍,精開三宵平,tsjew,tsjew,tsjɛw,tsjɛw,tsjɛw
噎,影開四先入,'et,ʔ̙et,ʔjɛt,ʔjɛr,ʔjɛr
噏,曉開三B侵入,xip,xɨ̯ip,xɨip,xɨiβ,xɨiβ
噓,曉開三C魚去,xjoH,xɨ̯əh,xɨH,xɨuH,xɨuH
噓,曉開三C魚平,xjo,xɨ̯ə,xɨ,xɨu,xɨu
噞,疑開三B鹽上,ngjemX,ŋɨ̯emʔ,ŋɨɛmX,ŋɡɨɛmX,ŋɡɨɛmX
噞,疑開三B鹽去,ngjemH,ŋɨ̯emh,ŋɨɛmH,ŋɡɨɛmH,ŋɡɨɛmH
噟,影開三C蒸去,'ingH,ʔɨŋh,ʔɨŋH,ʔɨŋH,ʔɨŋH
噡,章開三鹽平,tsyem,tɕem,tɕɛm,tɕɛm,tɕɛm
噢,影三C東入,'juwk,ʔɨ̯uk,ʔɨuk,ʔɨuɣ,ʔɨuɣ
噢,影合三C虞上,'juX,ʔɨ̯oʔ,ʔɨuX,ʔɨuX,ʔɨuX
噣,知二江入,traewk,ʈoˤk,ʈʕawk,ʈʕawɣ,ʈʕɔɣ
噣,知三尤去,trjuwH,ʈjuh,ʈɨwH,ʈɨwH,ʈɨwH
噣,章三鍾入,tsyowk,tɕok,tɕuk,tɕuɣ,tɕuɣ
噣,端一侯去,tuwH,t̙uh,təwH,təwH,təwH
噤,羣開三B侵上,gimX,ɡɨ̯imʔ,ɡɨimH,ɡ̊ɦɨimH,kʰɨimH
噤,羣開三B侵去,gimH,ɡɨ̯imh,ɡɨimH,ɡ̊ɦɨimH,kʰɨimH
噥,泥一冬平,nowng,n̙oŋ,nuŋ,nduŋ,nduŋ
噥,孃二江平,nraewng,ɳoˤŋ,ɳʕawŋ,nɻʕɔũ,nɻʕɔũ
噦,影合三B仙入,'jwet,ʔwɨ̯et,ʔwɨɛt,ʔwɨɛr,ʔwɨɛr
噦,影合三C元入,'jwot,ʔwɨ̯ət,ʔwɨɛt,ʔwɨɛr,ʔwɨɛr
噦,曉合一泰去,xwajH,χwɑjh,χwɑjH,χwɑjH,χwɑjH
噧,透開一寒入,that,t̙ʰɑt,tʰɑt,tʰɑr,tʰɑr
噧,曉開二皆去,xeajH,χeˤjh,χʕajH,χʕajH,χʕajH
器,溪開三B脂去,khijH,kʰɨ̯ih,kʰɨiH,kʰɨiH,kʰɨiH
噩,疑開一唐入,ngak,ɴɑk,ɴɑk,ɴɢɑɣ,ɴɢɔɣ
噪,心開一豪去,sawH,s̙əwh,sɑwH,sɑwH,sɑwH
噫,影開二皆去,'eajH,ʔ̙eˤjh,ʔˤajH,ʔˤajH,ʔˤajH
噫,影開三C之平,'i,ʔɨ,ʔɨi,ʔɨi,ʔɨi
